date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:15:51	24138/24138	---M--	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202024%2015:15:50%20GMT	https://duartemanhita.myportfolio.com/portfolio	C:/My%20Web%20Sites/port/duartemanhita.myportfolio.com/portfolio.html	(from )
15:15:51	7584/7584	---M--	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202024%2015:15:50%20GMT	https://duartemanhita.myportfolio.com/	C:/My%20Web%20Sites/port/duartemanhita.myportfolio.com/index.html	(from )
15:15:51	227968/227968	---M--	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202024%2015:15:50%20GMT	https://duartemanhita.myportfolio.com/iberian-supercars-2024-season-official-photographer	C:/My%20Web%20Sites/port/duartemanhita.myportfolio.com/iberian-supercars-2024-season-official-photographer.html	(from )
15:15:51	10720/10720	---M--	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202024%2015:15:51%20GMT	https://duartemanhita.myportfolio.com/about	C:/My%20Web%20Sites/port/duartemanhita.myportfolio.com/about.html	(from )
15:15:52	13090/13090	---M--	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202024%2015:15:51%20GMT	https://duartemanhita.myportfolio.com/contact	C:/My%20Web%20Sites/port/duartemanhita.myportfolio.com/contact.html	(from )
15:15:52	82/82	---M--	200	added ('OK')	text/plain	date:Tue,%2017%20Dec%202024%2015:15:51%20GMT	https://duartemanhita.myportfolio.com/robots.txt		(from )
15:15:52	11553/11553	---M--	200	added ('OK')	text/css	etag:%22674dea4e-2d21%22	https://duartemanhita.myportfolio.com/dist/css/main.css	C:/My%20Web%20Sites/port/duartemanhita.myportfolio.com/dist/css/main.css	(from https://duartemanhita.myportfolio.com/)
15:15:52	79181/79181	---M--	200	added ('OK')	text/css	etag:e75ceaf24b0db3298b00136e0ab5386e	https://cdn.myportfolio.com/35f16170-ae37-4568-a70d-0b55f1099141/7e4ab86953a78e0d76d27620fc8a095c1733682080.css?h=5dcd9f15ded2f93d0f0aee48d7c6697d	C:/My%20Web%20Sites/port/cdn.myportfolio.com/35f16170-ae37-4568-a70d-0b55f1099141/7e4ab86953a78e0d76d27620fc8a095c17336820804f77.css	(from https://duartemanhita.myportfolio.com/)
15:15:52	7584/7584	---M--	200	added ('OK')	text/html	date:Tue,%2017%20Dec%202024%2015:15:52%20GMT	https://duartemanhita.myportfolio.com/home	C:/My%20Web%20Sites/port/duartemanhita.myportfolio.com/home.html	(from https://duartemanhita.myportfolio.com/)
15:15:53	141/141	---M--	200	added ('OK')	application/javascript	date:Tue,%2017%20Dec%202024%2015:15:52%20GMT	https://duartemanhita.myportfolio.com/site/translations?cb=f55b45a3e8ad93d0a224939951d8339444a0d5cb	C:/My%20Web%20Sites/port/duartemanhita.myportfolio.com/site/translations274d	(from https://duartemanhita.myportfolio.com/)
